set_id,ELEOMA,Car_Weight,Car_Type,CarProdYear
0000000255,DIESEL,2.5,일반탑차,2008
0000000256,DIESEL,5,조르다,2005
0000000257,DIESEL,5,조르다,2003
0000000258,DIESEL,5,조르다,2006
0000000259,DIESEL,2.5,일반탑차,2005
0000000260,DIESEL,2.5,일반탑차,2006
0000000262,DIESEL,3.5,일반탑차,2003
0000000263,DIESEL,5,조르다,2003
0000000264,DIESEL,5,조르다,2011
0000000265,DIESEL,5,일반탑차,2006
0000000266,DIESEL,2.5,일반탑차,2005
0000000267,DIESEL,5,조르다,2008
0000000268,DIESEL,5,조르다,2009
0000000269,DIESEL,2.5,일반탑차,2005
0000000270,DIESEL,5,일반탑차,2003
0000000271,DIESEL,5,일반탑차,2003
0000000272,DIESEL,5,조르다,2005
0000000273,DIESEL,5,일반탑차,2005
0000000274,DIESEL,5,조르다,2002
0000000276,DIESEL,3.5,일반탑차,2010
0000000277,DIESEL,2.5,일반탑차,2005
0000000278,DIESEL,2.5,일반탑차,2005
0000000279,DIESEL,3.5,일반탑차,2010
0000000280,DIESEL,5,조르다,2004
0000000281,DIESEL,3.5,일반탑차,2002
0000000282,DIESEL,3.5,일반탑차,2011
0000000284,DIESEL,3.5,일반탑차,2008
0000000285,DIESEL,3.5,일반탑차,2001
0000000286,DIESEL,5,일반탑차,2008
0000000287,DIESEL,5,조르다,2005
0000000288,DIESEL,5,일반탑차,2002
0000000289,DIESEL,14,조르다,2010
0000000290,DIESEL,2.5,일반탑차,2005
0000000291,DIESEL,5,일반탑차,2003
0000000292,DIESEL,2.5,일반탑차,2005
0000000293,DIESEL,2.5,일반탑차,2005
0000000294,DIESEL,2.5,일반탑차,2005
0000000295,DIESEL,5,조르다,2006
0000000296,DIESEL,3.5,일반탑차,2001
0000000299,DIESEL,2.5,일반탑차,2005
0000000301,DIESEL,2.5,일반탑차,2006
0000000302,DIESEL,3.5,일반탑차,2009
0000000303,DIESEL,2.5,일반탑차,2005
0000000304,DIESEL,5,조르다,2003
0000000305,DIESEL,2.5,일반탑차,2005
0000000306,DIESEL,2.5,일반탑차,2006
0000000307,DIESEL,3.5,일반탑차,2003
0000000308,DIESEL,3.5,일반탑차,2016
0000000310,DIESEL,2.5,일반탑차,2008
0000000312,DIESEL,2.5,일반탑차,2005
0000000313,DIESEL,2.5,일반탑차,2005
0000000314,DIESEL,3.5,일반탑차,2008
0000000315,DIESEL,2.5,일반탑차,2006
0000000316,DIESEL,14,조르다,2005
0000000317,DIESEL,5,조르다,2003
0000000318,DIESEL,5,조르다,2001
0000000319,DIESEL,3.5,일반탑차,2009
0000000320,DIESEL,14,조르다,2007
0000000321,DIESEL,3.5,일반탑차,2008
0000000322,DIESEL,2.5,일반탑차,2005
0000000323,DIESEL,3.5,일반탑차,2008
0000000324,DIESEL,2.5,일반탑차,2008
0000000325,DIESEL,2.5,일반탑차,2005
0000000326,DIESEL,3.5,일반탑차,2005
0000000327,DIESEL,5,일반탑차,2007
0000000328,DIESEL,2.5,일반탑차,2004
0000000329,DIESEL,2.5,일반탑차,2017
0000000330,DIESEL,2.5,일반탑차,2005
0000000331,DIESEL,3.5,일반탑차,2011
0000000332,DIESEL,14,조르다,2005
0000000333,DIESEL,3.5,일반탑차,2006
0000000334,DIESEL,2.5,일반탑차,2005
0000000335,DIESEL,3.5,일반탑차,2005
0000000336,DIESEL,3.5,일반탑차,2010
0000000337,DIESEL,2.5,일반탑차,2017
0000000338,DIESEL,2.5,일반탑차,2005
0000000339,DIESEL,2.5,일반탑차,2005
0000000340,DIESEL,2.5,일반탑차,2005
0000000341,DIESEL,3.5,일반탑차,2011
0000000342,DIESEL,2.5,일반탑차,2005
0000000343,DIESEL,2.5,일반탑차,2005
0000000344,DIESEL,3.5,일반탑차,2003
0000000345,DIESEL,3.5,일반탑차,2009
0000000346,DIESEL,5,일반탑차,2005
0000000347,DIESEL,2.5,일반탑차,2005
0000000348,DIESEL,3.5,일반탑차,2008
0000000349,DIESEL,3.5,일반탑차,2012
0000000350,DIESEL,3.5,일반탑차,2003
0000000351,DIESEL,3.5,일반탑차,2005
0000000352,DIESEL,3.5,일반탑차,2012
0000000353,DIESEL,3.5,일반탑차,2010
0000000354,DIESEL,3.5,일반탑차,2002
0000000355,DIESEL,3.5,일반탑차,2013
0000000356,DIESEL,3.5,일반탑차,2006
0000000357,DIESEL,2.5,일반탑차,2004
0000000358,DIESEL,14,조르다,2013
0000000359,DIESEL,5,조르다,2011
0000000360,DIESEL,2.5,일반탑차,2005
0000000361,DIESEL,3.5,일반탑차,2003
0000000362,DIESEL,3.5,일반탑차,2004
0000000363,DIESEL,3.5,일반탑차,2009
0000000364,DIESEL,3.5,일반탑차,2004
0000000365,DIESEL,3.5,일반탑차,2009
0000000367,DIESEL,2.5,일반탑차,2005
0000000368,DIESEL,3.5,일반탑차,2001
0000000369,DIESEL,14,조르다,2005
0000000370,DIESEL,3.5,일반탑차,2008
0000000371,DIESEL,14,조르다,2009
0000000372,DIESEL,5,조르다,2001
0000000373,DIESEL,3.5,일반탑차,2003
0000000374,DIESEL,2.5,일반탑차,2000
0000000375,DIESEL,2.5,일반탑차,2007
0000000376,DIESEL,5,일반탑차,2005
0000000378,DIESEL,2.5,일반탑차,2000
0000000379,DIESEL,3.5,일반탑차,2010
0000000380,DIESEL,2.5,일반탑차,2006
0000000381,DIESEL,5,일반탑차,2005
0000000382,DIESEL,14,윙바디,2002
0000000383,DIESEL,5,윙바디,2006
0000000384,DIESEL,5,조르다,2008
0000000385,DIESEL,5,조르다,2005
0000000386,DIESEL,3.5,일반탑차,2011
0000000387,DIESEL,14,윙바디,2007
0000000388,DIESEL,5,일반탑차,2005
0000000389,DIESEL,2.5,일반탑차,2005
0000000390,DIESEL,5,조르다,2006
0000000392,DIESEL,5,조르다,2003
0000000393,DIESEL,5,일반탑차,2003
0000000394,DIESEL,11,조르다,2011
0000000395,DIESEL,5,일반탑차,2007
0000000396,DIESEL,3.5,일반탑차,2011
0000000397,DIESEL,14,조르다,2005
0000000398,DIESEL,3.5,일반탑차,2003
0000000399,DIESEL,5,일반탑차,2000
0000000400,DIESEL,2.5,일반탑차,2005
0000000401,DIESEL,5,조르다,2010
0000000402,DIESEL,14,조르다,2005
0000000403,DIESEL,14,조르다,2005
0000000404,DIESEL,5,조르다,2001
0000000405,DIESEL,14,조르다,2005
0000000406,DIESEL,14,조르다,2005
0000000407,DIESEL,8,일반탑차,2004
0000000408,DIESEL,8,일반탑차,2004
0000000409,DIESEL,5,일반탑차,2007
0000000410,DIESEL,5,조르다,2011
0000000411,DIESEL,5,조르다,2006
0000000412,DIESEL,5,조르다,2013
0000000413,DIESEL,3.5,일반탑차,2013
0000000414,DIESEL,5,일반탑차,2010
0000000415,DIESEL,5,일반탑차,2007
0000000416,DIESEL,5,일반탑차,2012
0000000417,DIESEL,3.5,일반탑차,2006
0000000418,DIESEL,5,일반탑차,2010
0000000419,DIESEL,5,일반탑차,2008
0000000420,DIESEL,2.5,일반탑차,2003
0000000421,DIESEL,3.5,일반탑차,2014
0000000422,DIESEL,2.5,일반탑차,2005
